tt0204291	7.1	798
tt0204657	9.1	4742
tt0221381	4.3	86
tt0221603	9.0	883
tt0221604	8.4	1875
tt0221605	8.1	615
tt0221606	9.3	3941
tt0221693	7.6	211
tt0222407	8.6	1645
tt0234202	8.7	2618
tt0271807	8.7	956
tt0276320	7.8	372
tt0276388	8.5	782
tt0279945	7.9	713
tt0279946	8.0	552
tt0279947	7.8	424
tt0288617	7.1	102
tt0290754	3.7	51
tt0292096	7.4	257
tt0309840	7.0	25
tt0461809	4.5	34
tt0472540	5.8	30
tt0481949	5.1	37
tt1571573	3.9	137
tt2200602	6.0	23
tt2227980	2.1	20
tt2228324	5.6	14
tt2255452	1.9	19
tt2263828	1.9	21
tt2470742	(null)	-1
tt2470746	(null)	-1
tt2603560	(null)	-1
tt3089776	3.1	22
tt3401398	7.4	27
tt3404192	7.7	54
tt3417424	6.0	5
tt3419938	4.1	18
tt3429360	(null)	-1
tt3430366	(null)	-1
tt3431398	5.1	9
tt3432678	5.4	5
tt3436080	(null)	-1
tt3437398	(null)	-1
tt3442060	(null)	-1
tt3466322	(null)	-1
tt3468460	(null)	-1
tt3469658	(null)	-1
tt3488322	(null)	-1
tt3503664	9.2	246
tt6116988	7.3	12
tt6374772	(null)	-1
tt6375640	(null)	-1
tt9058054	(null)	-1
tt9286660	6.0	10
tt9286818	6.1	9
